All,Tous
"Grand Total (Excl.Tax)","Total (HT)"
"Grand Total (Incl.Tax)","Total (TTC)"
"Manage Tax Rates","Gérer les taux des taxes"
"New Tax Rate","Nouveau taux"
"Tax Zones and Rates","Zones de taxe et taux"
"We can't delete this tax rate right now.","Nous ne pouvons pas supprimer ce taux d'imposition en ce moment."
"An error occurred while loading this tax rate.","Une erreur s’est produite lors du chargement de ce taux de taxe."
"You deleted the tax rate.","Vous avez supprimé le taux de taxe."
"We can't delete this rate because of an incorrect rate ID.","Nous ne pouvons pas supprimer ce taux en raison d'un identifiant de taux incorrect."
"Something went wrong deleting this rate.","Une erreur s'est produite lors de la suppression du taux."
"Edit Tax Rate","Éditer le taux de la taxe"
"You saved the tax rate.","Vous avez enregistré le taux de taxe."
"An error occurred while loading tax rates.","Une erreur s’est produite lors du chargement des taux de taxe."
"The tax rule has been deleted.","La règle de taxe a été supprimée."
"Something went wrong deleting this tax rule.","Une erreur s'est produite lors de la suppression de la règle de taux."
"New Tax Rule","Nouvelle règle de taxe"
"You saved the tax rule.","Vous avez enregistré la règle de taxe."
"We can't save this tax rule right now.","Nous ne pouvons pas épargner cette règle de taxe pour le moment."
"Invalid name of tax class specified.","Nom non valide de la catégorie de taxe spécifié."
"We can't delete this tax class right now.","Nous ne pouvons pas supprimer cette classe de taxe pour le moment."
"We can't save this tax class right now.","Nous ne pouvons pas sauvegarder cette classe de taxe pour le moment."
"Make sure all required information is valid.","Assurez-vous que toutes les informations requises soient valides."
"The Rate Percent should be a positive number.","Le pourcentage de taux devrait être un nombre positif."
"Maximum zip code length is 9.","La longueur maxi du code postal est 9."
"Use digits only for the zip code.","Utilisez uniquement les chiffres pour le code postal."
"Range To should be equal or greater than Range From.","La ""tranche jusqu'à"" doit être supérieure ou égale à la ""tranche à partir de""."
"The tax rate cannot be removed. It exists in a tax rule.","Le taux de taxe ne peut être supprimé. Il existe dans une règle de taxe."
"This class no longer exists.","Cette classe n'existe plus."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","Vous ne pouvez pas supprimer cette classe de taxe car elle est utilisée par une règle. Vous devez d'abord supprimer la règle."
"You cannot delete this tax class because it is used in existing %1(s).","Vous ne pouvez pas supprimer cette classe de taxe parce qu’elle est utilisée dans l’actuel %1(s)."
"Custom price if available","Prix personnalisé si disponible"
"Original price only","Prix original seulement"
"Shipping Origin","Origine de livraison"
"No (price without tax)","Non (prix sans taxes)"
"Yes (only price with tax)","Oui (prix avec taxe seulement)"
"Both (without and with tax)","Les deux (avec et sans taxes)"
"Invalid type supplied","Type non valide fourni"
"Class name and class type","Nom de classe et type de classe"
"Grand Total (Excl. Tax)","Total (HT)"
"Grand Total (Incl. Tax)","Total (TTC)"
"Shipping (Excl. Tax)","Livraison (HT)"
"Shipping (Incl. Tax)","Livraison et traitement (TTC)"
"Before Discount","Avant remise"
"After Discount","Après remise"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","Pour appliquer les remises sur les prix TTC et appliquer la taxe après remise, mettez les prix catalogue sur « TTC ». "
"Store(s) affected: ","Vue magasin affectée : "
"Click on the link to <a href=""%1"">ignore this notification</a>","Cliquez sur le lien pour <a href=""%1"">ignorer cette notification</a>"
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations. ","Avec la taxe appliquée « avant remise », le calcul de la remise finale peut ne pas correspondre aux attentes des clients. "
"Your current tax configuration may result in rounding errors. ","Votre configuration actuelle de la taxe peut entraîner des erreurs d’arrondi. "
"Please see <a href=""%1"">documentation</a> for more details. ","S’il vous plaît voyez la <a href=""%1"">documentation</a> pour plus de détails. "
"Click here to go to <a href=""%1"">Tax Configuration</a> and change your settings.","Cliquez ici pour aller dans <a href=""%1"">la configuration des taxes</a> et modifier vos paramètres."
"Invalid type of tax class ""%1""","Type non valide de la classe de taxe ""%1"""
"Updating classType is not allowed.","Mise à jour de TypeClasse n’est pas autorisé."
"A class with the same name already exists for ClassType %1.","Une classe portant le même nom existe déjà pour ClassType %1."
"customer group","groupe de clients"
product,produit
"Excl. tax:","HT :"
"Entity already exists","Entité existe déjà"
"Cannot save titles","Impossible enregistrer les titres"
"Some Message","Certain message"
Note:,"Remarque :"
"Leave this field empty if you wish to use the tax identifier.","Laissez ce champ vide si vous voulez utiliser l'identifiant de taxe."
"An error occurred","Une erreur est survenue"
"Do you really want to delete this tax rate?","Voulez-vous vraiment supprimer ce taux de taxe ?"
"Add New Class","Ajouter une classe"
"Tax Section",TVA
"Tax Classes","Classes de taxe"
"Tax Class for Shipping","Classe de taxe pour la livraison"
"Default Tax Class for Product","Classe de TVA par défaut pour le produit"
"Default Tax Class for Customer","Classe de TVA par défaut pour le client"
"Calculation Settings","Paramètres de calcul"
"Tax Calculation Method Based On","Méthode de calcul de la taxe basée sur"
"Catalog Prices","Prix catalogue"
"This sets whether catalog prices entered from Magento Admin include tax.","Ceci paramètre si les prix catalogue dans l'admin incluent les taxes."
"Shipping Prices","Frais de port"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include tax.","Ceci paramètre si les montant de frais de port entrés dans l'admin ou obtenus par passerelles, incluent les taxes."
"Apply Customer Tax","Appliquer la taxe client"
"Apply Discount On Prices","Appliquer la remise sur les prix"
"Warning: To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”.","Pour appliquer les remises sur les prix TTC et appliquer la taxe après remise, mettez les prix catalogue sur « TTC »."
"Apply Tax On","Appliquer la taxe sur"
"Enable Cross Border Trade","Activer le commerce transfrontalier"
"When catalog price includes tax, enable this setting to fix the price no matter what the customer's tax rate.","Quand les prix catalogue sont TTC, activer cette option figera le prix, quel que soit le taux de TVA du client."
"Default Tax Destination Calculation","Estimation de calcul de la taxe par défaut"
"Default State","État par défaut"
"Default Post Code","Code postal par défaut"
"Price Display Settings","Paramètres d'affichage du prix"
"Display Product Prices In Catalog","Afficher les prix des produits dans le catalogue"
"Display Shipping Prices","Afficher les prix de livraison"
"Shopping Cart Display Settings","Afficher les options du panier"
"Display Prices","Afficher les prix"
"Display Subtotal","Afficher le sous-total"
"Display Shipping Amount","Afficher le montant de l'expédition"
"Include Tax In Order Total","TTC dans le total"
"Display Full Tax Summary","Afficher le résumé complet des taxes"
"Display Zero Tax Subtotal","Afficher le sous-total lorsqu'il est nul"
"Orders, Invoices, Credit Memos Display Settings","Paramètres d'affichage des commandes, factures et avoirs"
State/Region,État/Région/Dpt
"Subtotal Only","Sous-total seulement"
"(Excl. Tax)",(HT)
"(Incl. Tax)",(TTC)
"Order Total Excl. Tax","Total HT"
"Order Total Incl. Tax","Total TTC"
"Warning tax configuration can result in rounding errors. ","Votre configuration actuelle de la taxe peut entraîner des erreurs d’arrondi. "
"Warning tax discount configuration might result in different discounts
                                than a customer might expect. ","Des alertes de configuration de taxes peut conduire à des remises différentes 
                                de celles attendues par le client. "
"Apply discount on price including tax is calculated based on store tax if ""Apply Tax after Discount"" is selected.","Appliquer une réduction sur le prix incluant la taxe est calculée en fonction de la taxe de magasin si ""Appliquer la taxe après la réduction"" est sélectionné."
"With customer tax applied “Before Discount”, the final discount calculation may not match customers’ expectations.","Si la taxe est appliquée « Avant la réduction », le calcul final de la réduction ne correspond pas aux attentes des clients."
"The required information is invalid. Verify the information and try again.","Les informations requises sont non valides. Vérifiez les informations et réessayez."
"The Rate Percent is invalid. Enter a positive number and try again.","Le pourcentage de taux est non valide. Entrez un nombre positif et réessayez."
"The ZIP Code length is invalid. Verify that the length is nine characters or fewer and try again.","La longueur du code postal est non valide. Vérifiez que la longueur est de neuf caractères ou moins et réessayez."
"The ZIP Code is invalid. Use numbers only.","Le code postal est non valide. Utilisez uniquement des numéros."
"The tax rate can't be removed because it exists in a tax rule.","Le taux de taxe ne peut pas être supprimé car il existe dans une règle de taxes."
"Import and Export Tax Rates","Importer et exporter des taux de TVA"
"The tax rate has been imported.","Le taux de taxe a été importé."
"Invalid file upload attempt","Import de fichier non valide"
"Invalid file upload attempt.","Import de fichier non valide."
"Invalid file format.","Format de fichier non valide."
"One of the countries has invalid code.","Un des pays possède un code invalide."
"Import Tax Rates","Import de taux de taxes"
"Export Tax Rates","Exporter les taux"
"Country code is invalid: %1","Code pays non valide : %1"
"Import/Export Tax Rates","Import / Export de taux de taxes"
"Save and Continue","Sauvegarder et continuer"
"Save Configuration","Enregistrer la Configuration"
Themes,Thèmes
"Are you sure you want to delete this theme?","Êtes-vous sûr de vouloir supprimer ce thème ?"
"Theme: %1","Thème : %1"
"Theme CSS","Thème CSS"
"Theme CSS Assets","Eléments CSS du thème"
"Custom CSS",En-tête
"Select CSS File to Upload","Sélectionnez fichier CSS à charger"
"Upload CSS File","Uploader le fichier CSS"
"Download CSS File","Télécharger le fichier CSS"
"Images Assets","Eléments d'images"
"Upload Fonts","Envoyer polices de caractères"
"Fonts Assets","Eléments de polices de caractères"
"Edit custom.css","Editer custom.css"
"Allowed file types *.css.","Type de fichier autorisé *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Ce fichier remplacera le fichier custom.css actuel et ne peut pas faire plus de 2 Mo."
"Max file size to upload %1M","Taille de fichier maximale à charger %1M"
"Something is wrong with the file upload settings.","Quelque chose ne va pas avec les paramètres de fichiers à charger."
"CSS Editor","Editeur CSS"
"Theme Settings","Paramètres du thème"
"Parent Theme","Thème parent"
"Theme Path","Chemin du thème"
"Theme Title","Titre du thème"
"Theme Preview Image","Image de prévisualisation du thème"
"Copy of %1","Copie de %1"
"Max image size %1M","Taille image maxi %1M"
"Theme JavaScript","JavaScript du thème"
"Select JS Files to Upload","Sélectionnez fichier JS à charger"
"Upload JS Files","Charger fichiers JS"
"JS Editor","Editeur JS"
"Allowed file types *.js.","Type de fichier autorisé *.js."
welcome,bienvenue
"Design Configuration","Configuration de design"
"You deleted the theme.","Vous avez supprimé le thème."
"We cannot delete the theme.","Nous ne pouvons pas supprimer le thème."
"File not found: ""%1"".","Fichier non trouvé: «%1 »."
"We can't find file.","Nous ne pouvons pas trouver le fichier."
"We cannot find theme ""%1"".","Nous ne trouvons pas de thème «%1 »."
"We cannot find the theme.","Nous ne pouvons pas trouver le thème."
"This theme is not editable.","Ce thème n'est pas modifiable."
"You saved the theme.","Vous avez enregistré le thème."
"We can't upload the CSS file right now.","Nous ne pouvons pas télécharger le fichier CSS en ce moment."
"We cannot find a theme with id ""%1"".","Nous ne pouvons pas trouver de thème avec l'id «%1 »."
"We can't upload the JS file right now.","Nous ne pouvons pas télécharger le fichier JS en ce moment."
"Sorry, something went wrong. That's all we know.","Désolé, quelque chose s'est mal passé. C'est tout ce que nous savons."
"Invalid type","Type non valide"
"Invalid scope or scope id","Portée ou ID de portée non valide"
"%1 does not contain field '%2'","%1 ne contient pas le champ '%2'"
"Invalid regular expression: ""%1"".","Expression régulière non valide : ""%1""."
"%1 does not contain field 'file'","%1 ne contient pas le champ 'file'"
"Backend model is not specified for %1","Le modèle de backend n'est pas spécifié pour %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","Le %templateName contient une configuration incorrecte. Le modèle a une référence à lui-même. Soit supprimez ou modifiez la référence."
"Can not save empty config","Impossible d'enregistrer la configuration vide"
"The start date can't follow the end date.","La date de début ne peut pas être après la date de fin."
"The date range for this design change overlaps another design change for the specified store.","La période de dates pour ce changement de design chevauche un autre changement de design pour le magasin spécifié."
"Theme id should be set","L'ID du thème doit être paramétré"
"Circular-reference in theme inheritance detected for ""%1""","Détection d'un référence circulaire (boucle) dans l'héritage du thème ""%1"""
"The CSS file must be less than %1M.","Le fichier CSS doit faire moins de %1M."
"The JS file must be less than %1M.","Le fichier JS doit faire moins de %1M."
"We can't upload the file right now.","Nous ne pouvons pas télécharger le fichier pour le moment."
"Use only standard alphanumeric, dashes and underscores.","Utilisez uniquement les standards alphanumériques, tirets et underscores."
"We found a directory with the same name.","Un répertoire avec le même nom a été trouvé."
"We cannot find a directory with this name.","Impossible de trouver un répertoire avec le même nom."
"We can't delete root directory %1 right now.","Nous ne pouvons pas supprimer le répertoire racine %1 pour le moment."
"Theme isn't deletable.","Le thème n'est pas supprimable."
"localized exception","exception localisée"
"Test Label","Etiquette de test"
Phrase,Expression
"We found no files.","Aucun fichier trouvé."
"Browse Files","Parcourir les fichiers"
Scope:,"Portée :"
"Help Us Keep Magento Healthy","Aidez-nous à améliorer Magento"
"Report All Bugs","Signaler un dysfonctionnement"
"Toggle Nav","Affichage navigation"
"JavaScript seems to be disabled in your browser.","Javascript est désactivé dans votre navigateur."
"For the best experience on our site, be sure to turn on Javascript in your browser.","Pour une expérience optimale sur notre site, veuillez autoriser Javascript sur votre navigateur."
"Local Storage seems to be disabled in your browser.","Le stockage local semble ne pas être autorisé dans votre navigateur."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","Pour une expérience optimale sur notre site, veuillez autoriser le stockage local dans votre navigateur."
"This is demo store. No orders will be fulfilled.","Ceci est un magasin de démo. Aucune commande ne sera honorée."
"Items %1 to %2 of %3 total","Articles %1 à %2 sur %3 au total"
"%1 Item(s)","%1 article(s)"
"You're currently reading page","Vous lisez actuellement la page"
"We don't recognize this file extension.","Nous ne reconnaissons pas cette extension de fichier."
"1 column","1 colonne"
"Default welcome msg!","Message d'accueil par défaut"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-aujourd'hui Magento, Inc. Tous droits réservés."
"Design Config Grid","Grille de configuration de design"
"Rebuild design config grid index","Reconstruire l'index de grille de configuration de design"
"Admin empty","Admin vide"
"Admin 1column","Admin 1 colonne"
"Theme Information","Informations du thème"
"HTML Head","En-tête HTML"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Types de fichiers autorisés : ico, png, gif, jpg, jpeg, apng. Tous les navigateurs ne supportent pas tous ces formats !"
"Favicon Icon","Icône favicon"
"Default Page Title","Titre de la Page par défaut"
"Page Title Prefix","Préfixe de titre de la page"
"Page Title Suffix","Suffixe de titre de la page"
"Default Meta Description","Méta description par défaut"
"Default Meta Keywords","Meta mots clés par défaut"
"This will be included before head closing tag in page HTML.","Ceci sera inclus juste avant la balise de fermeture de body"
"Scripts and Style Sheets","Scripts et feuilles de Style"
"Display Demo Store Notice","Afficher le message d'avertissement de boutique de démo"
"Allowed file types: png, gif, jpg, jpeg.","Types de fichiers autorisés : png, gif, jpg, jpeg."
"Logo Attribute Width","Largeur Logo"
"Logo Attribute Height","Hauteur Logo"
"Welcome Text","Texte de bienvenue"
"This will be displayed just before the body closing tag.","Ceci sera affiché juste avant la balise de fermeture de body."
"Miscellaneous HTML","Code HTML divers"
"Default Robots","Robots par défaut"
"Edit custom instruction of robots.txt File","Editer les instructions du fichier robots.txt"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Cette action va supprimer les instructions sur mesure et remettre le fichier robots.txt par défaut."
"Reset To Defaults","Réinitialiser avec les valeurs par défaut"
"Skip to Content","Aller au contenu"
Account,Compte
"2 columns with left bar","2 colonnes avec colonne de gauche"
"2 columns with right bar","2 colonnes avec colonne de droite"
"3 columns","3 colonnes"
"Exception does not contain field '%1'","L'exception ne contient pas le champ '%1'"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Types de fichiers autorisés : ICO, PNG, GIF, JPEG, APNG, SVG. Attention, certains formats ne sont pas supportés par certains navigateurs."
"Title Prefix","Préfixe du titre"
"Title Suffix","Suffixe du titre"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Miscellaneous Scripts","Scripts divers"
"Search Engine Robots","Robots de moteur de recherche"
"Reset to Defaults","Réinitialiser aux valeurs par défaut"
"Logo Image Width","Largeur de l'image du logo"
"Logo Image Height","Hauteur de l'image du logo"
"This will be displayed just before body closing tag.","Ceci sera affiché juste avant la balise de fermeture de body"
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. Tous droits réservés."
"Wrong request.","Requête erronée."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. Tous droits réservés."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. Tous droits réservés."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Types de fichiers autorisés : ico, png, gif, jpg, jpeg, apng, svg. Tous les navigateurs ne supportent pas tous ces formats !"
"Allowed file types: png, gif, jpg, jpeg, svg.","Types de fichiers autorisés : png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. Tous droits réservés."
"Display Report Bugs Link","Afficher le rapport des bugs des liens"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Types de fichiers autorisés : ICO, PNG, GIF, JPG, JPEG, APNG. Tous les navigateurs ne supportent pas tous ces formats !"
"The scope or scope ID is invalid. Verify both and try again.","Le champ d'application ou l'ID de portée n'est pas valide. Vérifiez les deux et réessayez."
"The backend model isn't specified for ""%1"".","Le modèle de backend n'est pas spécifié pour ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","Le gabarit ""%templateName"" contient une configuration incorrecte, avec une référence à elle-même. Retirez ou modifiez la référence, puis réessayez."
"The config can't be saved because it's empty. Complete the config and try again.","La configuration ne peut pas être sauvegardée car elle est vide. Complétez la configuration et réessayez."
"This is a demo store. No orders will be fulfilled.","Il s'agit d'un magasin de démonstration. Aucune commande ne sera honorée."
"Not all browsers support all these formats!","Tous les navigateurs ne supportent pas tous ces formats !"
"TinyMCE 3 (deprecated)","TinyMCE 3 (plus utilisé)"
"Dictionary (Translation on Storefront side)","Dictionnaire (traduction coté vue magasin)"
"Embedded (Translation on Admin side)","Intégré (Traduction coté admin)"
"Error while translating phrase ""%s"" in file %s.","Erreur lors de la traduction de la phrase ""%s"" dans le fichier %s."
"Error while generating js translation dictionary: ""%s""","Erreur lors de la génération du dictionnaire de traduction JS : ""%s"""
"Translation Strategy","Stratégie de traduction"
Translations,Traductions
"Translation files","Fichiers de traduction"
"Translation files.","Fichiers de traduction."
"Please put your store into maintenance mode and redeploy static files after changing strategy","Veuillez mettre votre boutique en mode maintenance et redéployer les fichiers statiques après avoir modifié la stratégie"
"Condition type ""%1"" is not allowed","Condition type ""%1"" n’est pas autorisé"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","Le paramètre de configuration ""formElement"" est requis pour le champ ""%1""."
"Remove %1","Supprimer %1"
"Add New %1","Ajouter nouveau %1"
"New %1","Nouveau %1"
"Unsupported bookmark action.","Action de favoris non supporté."
"UI component could not be rendered because of system exception","Le composant UI n'a pas pu être rendu en raison de l'exception système"
"Parameter ""class"" must be present.","Paramètre ""class"" est nécessaire."
"Parameter ""sortOrder"" must be present.","Le paramètre ""sortOrder"" doit être présent."
"Invalid UI Component element name: '%1'","Nom de l'élément de composant UI non valide : '%1'"
"Bookmark with id ""%1"" does not exist.","Le signet avec l'id ""%1"" n'existe pas."
"Invalid UI Component element name: ''","Nom de l'élément de composant UI non valide : ''"
Filters,Filtres
Selected,Sélectionné
"Select All on This Page","Sélectionnez tout sur cette Page"
"Deselect All on This Page","Sélectionnez tout sur cette Page"
On,Activé
Off,Désactivé
"Go to Details Page","Aller à la Page de détails"
"New View","Nouvelle vue"
"Default View","Vue par défaut"
"${ $.visible } out of ${ $.total } visible","${ $.visible } sur ${ $.total } visibles"
"You have successfully saved your edits.","Vous avez enregistré avec succès vos modifications."
"There are {placeholder} messages requires your attention.","Il y a {placeholder} messages qui requirent votre attention."
"You haven't selected any items!","Vous n’avez sélectionné aucun élément !"
"Search by keyword","Recherche par mots clés"
Keyword,Mot-clé
"Please enter more or equal than {0} symbols.","S’il vous plaît entrez une valeur supérieure ou égale à {0} symboles."
"Please enter less or equal than {0} symbols.","S’il vous plaît entrez une valeur inférieure ou égale à {0} symboles."
"Please enter {0} words or less.","Veuillez entrer {0} mots ou moins."
"Please enter at least {0} words.","Veuillez saisir au moins {0} mots."
"Please enter between {0} and {1} words.","Veuillez saisir entre {0} et {1} mots."
"Letters or punctuation only please","Lettres ou signes de ponctuation uniquement s’il vous plaît"
"Letters, numbers, spaces or underscores only please","Lettres, chiffres, espaces ou underscores (_) seulement"
"Letters only please","Lettres uniquement"
"No white space please","Pas d'espace"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Votre code postal doit être dans la gamme 902xx-xxxx à 905-xx-xxxx"
"A positive or negative non-decimal number please","Nombre sans virgule, positif ou négatif"
"The specified vehicle identification number (VIN) is invalid.","Le numéro d’identification de véhicule (VIN) n’est pas valide."
"Please enter a correct date","Veuillez saisir une date valide"
"Vul hier een geldige datum in.","Entrez une date valide ici."
"Please enter a valid time, between 00:00 and 23:59","Veuillez saisir une heure valide, entre 00:00 et 23:59."
"Please enter a valid time, between 00:00 am and 12:00 pm","Veuillez entrer une heure valide, entre 00:00 am et 12:00 pm"
"Please specify a valid phone number","Merci de saisir un numéro de téléphone valide"
"Please specify a valid mobile number","Merci de saisir un numéro de mobile valide"
"Please enter at least {0} characters","Veuillez saisir au moins {0} caractères"
"Please enter a valid IP v4 address.","Entrez une adresse IP v4 valide."
"Please enter a valid IP v6 address.","Entrez une adresse IP v6 valide."
"Invalid format.","Format invalide."
"HTML tags are not allowed.","Les balises HTML ne sont pas autorisées."
"Please select an option.","Merci de choisir une option."
"Empty Value.","Valeur vide."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des espaces dans ce champ."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilisez uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Veuillez utiliser uniquement lettres (a-z ou A-Z), chiffres (0-9), espaces et ""#"" dans ce champ."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid fax number (Ex: 123-456-7890).","Veuillez entrer un numéro de fax valide (Ex : 0123456789)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Veuillez entrer une adresse email valide (Ex : johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
"Please enter 7 or more characters, using both numeric and alphabetic.","S’il vous plaît entrer 7 caractères ou plus, à l’aide de numérique et alphabétique."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longueur minimale de ce champ doit être égale ou supérieure à %1 symboles. Des espaces de début et de fin seront ignorées."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Veuillez saisir une URL valide. Le protocole est obligatoire (http://, https:// ou ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Veuillez saisir une URL valide. Par exemple http://www.exemple.com ou www.exemple.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Veuillez entrer un identificateur XML valide (Ex : something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Veuillez entrer un numéro d’assurance sociale valide (un numéro matricule à 12 chiffres)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Veuillez saisir un code postal valide (Ex : 90602)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Veuillez saisir une valeur CSS-length valide (Ex: 100px, 77pt, 20em, .5ex ou 50%)."
"Please enter a valid integer in this field.","Veuillez saisir un nombre entier valide."
"The value is not within the specified range.","La valeur n'est pas dans la plage spécifiée."
"Please use letters only (a-z or A-Z) in this field.","Veuillez utiliser uniquement des lettres (a-z ou A-Z) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou des soulignements (_) dans ce champ, et le premier caractère doit être une lettre."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Veuillez saisir une URL valide (Par exemple ""page-exemple"", ""page-exemple.html"" ou ""niveau/page-exemple"")."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please select State/Province.","Veuillez choisir une région/un département."
"Please enter a value less than or equal to {0}.","Veuillez entrer une valeur inférieure ou égale à {0}."
"Please enter a value greater than or equal to {0}.","Entrez une valeur supérieure ou égale à {0}."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Saisissez une liste d'adresses email valides, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com."
"Please enter issue number or start date for switch/solo card type.","Veuillez saisir le numéro de problème ou une date de début pour le type de carte switch/solo."
"Please enter positive number in this field.","Saisissez un nombre positif dans ce champ."
"Please enter a valid value, ex: 10,20,30","Saisissez une valeur valide, par ex : 10, 20, 30"
"File you are trying to upload exceeds maximum file size limit.","Le fichier que vous essayez de charger excède la limite de taille."
"Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.","Veuillez utiliser tag SCRIPT avec attribut SRC ou avec le contenu approprié pour inclure JavaScript au document."
"The date is not within the specified range.","La date n'est pas dans la plage spécifiée."
"Label Button 2","Libellé bouton 2"
"Label Actions One","Libellé Actions 1"
"Label Actions Two","Libellé Actions 2"
"Some Dynamic Actions","Des actions dynamiques"
"Log JS Errors to Session Storage","Log erreurs JS de stockage de session"
"Log JS Errors to Session Storage Key","Log erreurs JS de clé de stockage de session"
"Initialization error component, check the spelling of the name or the correctness of the call.","Erreur d'initialisation, vérifiez l'orthographe du nom ou la correction de l'appel."
"Save View As...","Enregistrer la vue sous..."
Columns,Colonnes
"All in column","Tout en colonnes"
"Record contains unsaved changes.","L'enregistrement contient des modifications non enregistrées."
"Active filters:","Filtres actifs :"
"Clear all","Tout effacer"
"Advanced filter","Filtre avancé"
"Apply Filters","Appliquer les filtres"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
ui/grid/filters/elements/select,UATP
"Please enter a quantity greater than 0.","Veuillez entrer une quantité supérieure à 0."
"The maximum you may purchase is %1.","Le maximum que vous pouvez acheter est %1."
"First character must be letter.","Le premier caractère doit être lettre."
"If enabled, can be used by functional tests for extended reporting","Si activé, peut être utilisé par des tests fonctionnels pour un rapport étendu"
"Use this key to retrieve collected js errors","Utilisez cette clé pour récupérer les erreurs de js collectées"
"The configuration parameter ""formElement"" is a required for ""' . . '"" field.","Le paramètre de configuration ""formElement"" est un champ ""' . . '""."
"'Remove ' .",'Supprimer'.
"'Add New ' .","'Ajouter un nouveau ' ."
"'New ' .",'Nouveau'.
"The file upload field is disabled.","Le champ de téléchargement du fichier est désactivé."
"No marginal white space please","Aucun espace blanc marginal s'il vous plaît"
"Please enter a valid percentage discount value greater than 0.","Veuillez saisir une valeur de pourcentage de remise valide supérieure à 0."
